Metabolite	rho	Statistic	p-value	q-value
Thyroxine_T4	-0.1945	327076	0.035	0.1806
y_Aminobutyric_acid_GABA	0.1901	221758	0.0393	0.1806
Indolelactic_acid	-0.1849	324448	0.0451	0.1806
Corticosterone	0.1336	237224	0.1489	0.4467
Indoxylsulfate	-0.0927	299208	0.3175	0.762
Glutamic_acid	0.0572	258166	0.5381	0.9365
Serotonin	0.0462	261166	0.6188	0.9365
Kynurenine	-0.0455	286274	0.6243	0.9365
Tryptophan	-0.022	279834	0.8131	0.9851
Cortisol	0.021	268060	0.8209	0.9851
Indole_3_propionic_acid	0.0017	273354	0.9854	0.9915
Kynurenic_acid	-0.001	274092	0.9915	0.9915
